trackName,endTime,artistName,msPlayed,uri,duracion_ms,popularidad,danceability,loudness,energy,liveness
TERRAZA,2022-06-08 13:11,WOS,4851345,6cLWKCBNawunqBHmyzdG7v,234949,0,0.7,-9.327,0.652,0.123
TUS LÁGRIMAS,2022-06-02 23:28,Mora,2939329,30W8VKHrAZmHzObnwAoc1u,174482,76,0.683,-4.898,0.714,0.111
Tal Vez,2022-10-17 21:05,Paulo Londra,42074,46lvmzK8wxAy66tjzXXSh0,264483,65,0.849,-2.899,0.655,0.0781
Te Mentiría Remix,2022-06-10 20:28,Luck Ra,783554,1txrFHh4XUU3Kp8HcD2TFW,172259,66,0.739,-3.057,0.751,0.128
The Climb,2023-04-01 12:30,Miley Cyrus,234520,5x5JM1BSB6vollcIzDocqT,234520,77,0.336,-6.354,0.602,0.141
The Greatest Show,2022-08-10 20:27,Hugh Jackman,302146,4ylWMuGbMXNDgDd8lErEle,302146,73,0.417,-7.36,0.824,0.0725
The Other Side,2022-06-11 03:54,Hugh Jackman,676394,2cKovq3l6OJjhVVDbVKOsr,214373,73,0.638,-8.45,0.795,0.153
There's Nothing Holdin' Me Back,2022-08-09 16:21,Shawn Mendes,199440,7JJmb5XwzOO8jgpou264Ml,199440,88,0.866,-4.063,0.813,0.0779
This Is Me,2022-06-11 03:58,Keala Settle,469412,45aBsnKRWUzhwbcqOJLwfe,234706,75,0.284,-7.276,0.704,0.0424
This Town,2022-09-18 12:28,Niall Horan,2469220,0qvzXomUDJVaUboy2wMfiS,232852,81,0.677,-8.467,0.401,0.116
"Tiago PZK: Bzrp Music Sessions, Vol. 48",2022-06-04 20:16,Bizarrap,2335998,2Gq636OOGgxCTqEuzCZhsa,160000,10,0.656,-3.059,0.823,0.103
Todo se transforma,2022-07-01 18:40,Jorge Drexler,1302876,4YEU9N2XAE0DfUwxWI5ijA,217146,65,0.761,-7.326,0.488,0.0864
"Trueno: Bzrp Freestyle Sessions, Vol. 6",2022-07-03 16:21,Bizarrap,1542273,1DckcUSLpCfYsD1htu4JnF,199391,0,0.778,-5.453,0.739,0.0857
"Trueno: Bzrp Music Sessions, Vol. 16",2022-11-28 18:47,Bizarrap,476949,7ouulWlZPefmEIGYWNyiPH,158983,62,0.726,-7.678,0.602,0.0827
"Tumbando el Club (feat. C.R.O, Obiewanshot, YSY A, Cazzu, Khea, Lucho SSJ, Coqeéin Montana, Marcianos Crew & Duki) - Remix",2022-08-27 03:54,Neo Pistea,24798,0OWcpVA83HI8Pb5DybDuoX,456939,68,0.882,-4.445,0.777,0.135
Two Ghosts,2022-10-17 22:29,Harry Styles,11545,4B1rpPmQXwj78wk6aIGwwU,229813,73,0.386,-7.095,0.407,0.0999
Two of Us,2022-10-15 20:40,Louis Tomlinson,1927,3fd5jcZKAzoiivM4ZDwhyU,217855,51,0.614,-5.411,0.605,0.124
ULTRA SOLO,2022-06-22 16:25,Polimá Westcoast,262801,0OTNHGKcqQbk51bOYe462Y,227220,78,0.802,-4.495,0.846,0.114
Una Vela,2022-08-27 03:51,Intoxicados,288019,5TQlPe23rDgLkgbpEgWUnI,273280,55,0.821,-8.707,0.689,0.454
Unfollow,2022-11-07 20:00,Duki,401649,7hQ7cmGKutObir5aHjkHPH,201120,41,0.536,-4.802,0.693,0.107
Upside Down,2023-04-01 11:45,Jack Johnson,209546,3vzT5SNVL3vaDeAgnG9QhF,169386,42,0.666,-10.246,0.404,0.198
VISTA AL MAR,2022-09-19 14:02,Quevedo,17339487,7iwJOi3hlMqZt6pj1sQOBj,180672,79,0.759,-5.643,0.561,0.101
Vacation,2022-08-09 13:39,Dirty Heads,388339,7cdy4PbCdDZZNjyxoZyE0c,209721,67,0.736,-5.588,0.751,0.105
Venganza,2022-09-14 14:09,No Te Va Gustar,39298,0QBMEboyu2DxFTKGbI5nl7,202376,59,0.51,-6.454,0.862,0.235
Vida Gangster,2023-02-02 19:14,Lauty Gram,928,4I4FFtKZLtyqw4he9pPtL7,170058,81,0.693,-5.209,0.756,0.135
Viernes 13,2022-10-03 20:11,KAKTOV,2461,36ZEFaqp4vVd8VYhvvO4oK,177299,60,0.452,-8.438,0.427,0.0962
Volando - Remix,2022-10-15 20:02,Mora,7102311,0G2zPzWqVjR68iNPmx2TBe,273474,81,0.659,-4.649,0.688,0.113
Vámonos,2023-02-26 00:16,Benjamín Amadeo,165503,4Uc8YalUCcHZtZK25oB4Fy,142212,44,0.501,-8.199,0.562,0.0692
Waka Waka (This Time for Africa) [The Official 2010 FIFA World Cup (TM) Song] (feat. Freshlyground),2022-11-04 17:40,Shakira,202626,2Cd9iWfcOpGDHLz6tVA3G4,202626,22,0.766,-6.381,0.873,0.0764
Walking in the Wind,2023-04-01 14:05,One Direction,202640,1ZycJRpLOazlLcoFGxGROO,202640,70,0.687,-6.586,0.447,0.0878
Wapo Traketero,2022-09-06 16:13,Nicki Nicole,1264201,5ctNuquTVDsfMb9jKzsYu0,181000,63,0.759,-11.102,0.43,0.0731
Waves,2022-10-17 21:50,The 502s,136378,5YxjqAmJlVfUbhQwubexkQ,190053,0,0.739,-6.285,0.727,0.56
What Do I Know?,2022-11-04 17:05,Ed Sheeran,237333,2pJZ1v8HezrAoZ0Fhzby92,237333,70,0.838,-5.69,0.492,0.262
When I Grow Up,2023-02-28 20:19,Matilda the Musical Original Cast,32507,58CDpvUvFA50aSER3RDghv,246200,0,0.68,-9.114,0.576,0.363
Ya No Más,2022-10-17 21:18,Fer Palacio,14303,4JmQQuj05sQD6hMfKFzcoR,161034,54,0.679,-14.465,0.216,0.0987
YaMeFui,2022-07-12 21:15,Bizarrap,1169054,42ahuAFlYGjIGBpVdHcLij,182594,69,0.785,-4.76,0.644,0.275
Zafar,2022-06-23 21:51,La Vela Puerca,4721218,0ZYcjnsXrs7BxWGnU0uVeV,262000,0,0.664,-5.291,0.455,0.108
bad guy,2023-04-01 13:38,Billie Eilish,194087,2Fxmhks0bxGSBdJ92vM42m,194087,85,0.701,-10.965,0.425,0.1
qué le pasa conmigo?,2023-04-25 23:59,Nicki Nicole,565580,4TrYGTVgWOe2s3ZPn5qFTa,167251,82,0.833,-5.945,0.582,0.0759
