trackName,endTime,artistName,msPlayed,uri,duracion_ms,popularidad,danceability,loudness,energy,liveness
Goteo,2022-09-19 18:00,Duki,632403,1EoEU4HY57qaITp06TkC6B,164457,70,0.473,-3.725,0.779,0.189
Gusty DJ | Ecko - Session en el Barrio #7,2023-02-16 13:40,Gusty dj,97851,2ALRaYszX1wDifP6HrcdqS,164536,68,0.883,-5.829,0.66,0.0723
Hacer un puente,2022-12-05 21:28,La Franela,132657,18Q3WTfyWX1tdS1cp42NhA,282958,62,0.522,-4.908,0.659,0.187
Happier,2022-11-04 16:58,Ed Sheeran,207520,2RttW7RAu5nOAfq6YFvApB,207520,81,0.522,-7.355,0.385,0.135
Hasta Que Dios Diga,2023-03-31 15:37,Anuel AA,246000,06s3QtMJVXw1AJX3UfvZG1,246000,85,0.691,-4.727,0.765,0.203
Heaven,2023-02-25 16:19,Niall Horan,5047296,0Hgqglypzt6Qs5Duqskcqs,213026,51,0.42,-8.881,0.479,0.0679
Hey Brother,2022-10-17 18:11,Avicii,510186,5Hu8zdEUszmTkCeSsm3Ly9,220952,41,0.558,-14.676,0.224,0.117
History,2022-08-07 08:49,One Direction,562278,0HMjXBAZmSYOTTi33WpMso,187426,77,0.655,-4.421,0.699,0.064
Home,2022-11-17 22:28,Aso,182250,1J6bub4kiTe4h0RCo9IszE,210173,3,0.606,-6.04,0.826,0.117
Hood - Remix,2022-10-12 15:21,Trueno,7041294,3UytZp1xDkNkROyIwE7DbY,176372,68,0.674,-6.253,0.456,0.126
Házmelo,2022-12-29 02:18,Tiago PZK,150992,4uiFw0YvHosZT3qRf1QAvs,174952,57,0.36,-4.146,0.684,0.721
I Lived,2022-08-07 09:20,OneRepublic,469092,3IQF4xCQUPicbA4hWfTxPo,234546,74,0.593,-5.456,0.851,0.271
Imagination,2022-10-25 18:59,Montell Fish,511989,0CgTuGTVzwPDd8o2rWH6DE,217773,0,0.481,-5.942,0.455,0.0694
Intro,2022-10-12 01:58,Barnes Blvd.,668879,5BfMJ6iytQnu1r7iiCYSXe,213253,52,0.213,-9.725,0.414,0.0912
"Introducing Me - From ""Camp Rock 2: The Final Jam""",2022-08-09 13:54,Nick Jonas,747572,74tQaH4CxM5Rs9BzerEbHr,186893,66,0.513,-6.049,0.496,0.106
"John C: Bzrp Music Sessions, Vol. 18",2023-04-23 22:12,Bizarrap,224976,08ilexedmUuccTWTeK7Dvb,133691,60,0.698,-6.178,0.714,0.0824
Juice,2023-04-01 13:49,Lizzo,195144,0k664IuFwVP557Gnx7RhIl,195144,76,0.767,-2.988,0.889,0.402
"KHEA: Bzrp Music Sessions, Vol. 34",2022-11-27 15:45,Bizarrap,794812,7bidsoy3nzCDNYzAzrV7NN,198703,65,0.633,-7.327,0.646,0.104
KU',2022-06-17 00:02,LIT killah,557635,261Jxss9utRCMg11TWEU8M,230544,59,0.7,-4.943,0.596,0.114
"Kiddo Toto: Bzrp Music Sessions, Vol. 11",2023-04-25 19:51,Bizarrap,143376,7jJV6hcqjD76gbu7TG67k8,143376,0,0.819,-5.954,0.623,0.0892
"L-Gante: Bzrp Music Sessions, Vol.38",2022-12-03 01:30,Bizarrap,479253,1Crj1zkRMpsEjb9NOR6Zof,192347,74,0.553,-3.083,0.819,0.0915
L-Gante: RKT SESSIONS #1,2022-11-07 20:07,Papu DJ,9610,4A9u8OrzFYbxdjiydkNdUi,181928,68,0.834,-11.103,0.485,0.272
LA INOCENTE,2023-03-01 22:17,Mora,3688613,5jt25aFjW2kNoBqaEVaz5W,202173,88,0.757,-3.46,0.789,0.0717
LUZ DELITO,2022-06-08 13:01,WOS,1819567,13VEtVCYfLTVsq5STs3SlW,155867,61,0.583,-2.674,0.977,0.544
La Cobra,2022-10-17 21:06,j mena,38801,7tAFzqPUa2G7EziujIPP7K,188227,0,0.843,-4.138,0.729,0.0267
La Isla del Sol,2023-02-14 09:46,un muerto mas,133546,1sZFIMGmKUYycerZSZb99O,258757,46,0.752,-6.923,0.923,0.376
La Melodía de Dios,2022-12-05 01:59,Tan Bionica,712274,31xVuaxFElzKPIp6Z9HT5N,285306,0,0.67,-4.36,0.912,0.0804
La niñera,2023-05-20 05:06,AX 13,51641,0Nkf18V7ShqvNWwALRdXaA,152773,0,0.707,-6.663,0.814,0.247
"Lalo Ebratt: Bzrp Music Sessions, Vol. 22",2022-08-27 03:41,Bizarrap,458145,5gjEktQCyYIccQwQZTpLXU,152304,51,0.927,-5.386,0.822,0.0568
Let Me Down Slowly,2022-10-16 02:45,Alec Benjamin,1813,2uaiyLKnYvazyfR0Ky3Kbk,169180,0,0.649,-5.692,0.548,0.136
Ley de Atracción,2022-11-28 18:12,Duki,284806,52PVGjg5sUhfs9PHiSl02c,180247,58,0.776,-4.078,0.683,0.322
"Like Boss - Remix (feat. Duki, Bizarrap, Akapellah, Polima Westcoast, Moonkey, Zanto, Santoz)",2022-11-27 20:14,Frijo,724562,2H2pkZBzWDX2TzGW7sp014,362281,56,0.853,-5.271,0.612,0.231
Limbo,2023-05-21 07:11,Daddy Yankee,36664,3pDhN3qB33AOPhQEkUCaWt,224693,79,0.806,-3.817,0.875,0.065
Lisa,2023-03-22 00:52,Young Miko,13610,44FzVABpR2cciquTqADA0D,159306,84,0.82,-7.553,0.446,0.13
Llamado de Emergencia,2023-05-21 07:01,Daddy Yankee,217594,3bkBVEmRJuJZNh5iVgJkWm,239920,0,0.699,-4.405,0.91,0.146
Locked out of Heaven,2023-04-01 12:19,Bruno Mars,233478,3w3y8KPTfNeOKPiqUTakBh,233478,89,0.726,-4.165,0.698,0.309
Loco,2022-08-07 05:12,Tiago PZK,719906,2J9B63FawlTaPdg4eH5X03,204000,71,0.82,-5.965,0.565,0.0469
Locura y Maldad,2022-06-16 23:41,Cris Mj,134691,2dG8CDU9UBem2ReYcLafDt,200000,69,0.791,-6.636,0.601,0.0919
Lola,2022-09-13 15:14,Duko,1330,0icidvfDmXmaS5vMQlIPF8,167042,62,0.843,-7.665,0.567,0.0566
MALAMENTE - Cap.1: Augurio,2022-08-24 03:05,ROSALÍA,300054,1B0BQaSRHxhI0AUlItY3LK,150027,71,0.893,-4.779,0.482,0.0752
MELÓN VINO,2022-06-07 18:13,WOS,6024227,5uHAzGa4d9j35DEbhUwGhi,176394,72,0.62,-6.081,0.741,0.156
MIRÁ MAMÁ,2022-06-07 18:07,WOS,7164938,3d1wvsZjykpYZxbIPz91Ou,169536,60,0.529,-7.32,0.622,0.537
MONTERO (Call Me By Your Name),2023-04-01 14:14,Lil Nas X,137875,67BtfxlNbhBmCDR2L2l8qd,137875,77,0.61,-6.682,0.508,0.384
MUGRE,2022-06-06 16:46,WOS,3480027,0hoo74Q82lOWekiPWYOOuz,259199,54,0.341,-5.606,0.708,0.122
Ma Vie (feat. Yay),2022-11-27 19:25,Kidd Keo,466600,6UU24wuWgGwuSBAxDH866Z,233300,70,0.936,-4.928,0.825,0.0703
Madre Tierra (Oye),2023-02-21 17:59,Chayanne,321679,2wlptOJ1g5fvLdu6ruKCKU,205920,69,0.695,-3.501,0.954,0.249
