artist,album,track,uri,duracion_ms,popularidad,danceability,loudness,energy,liveness
Sara Kays,Chosen Last,Chosen Last,3NDgV66iYYySIgo5RSvQ5d,226847,0,0.652,-6.503,0.543,0.112
Tyrese Pope,Not a Love Song,Not a Love Song,7c7eehhS6b19w6rEeuLhD6,135000,18,0.913,-12.416,0.48,0.229
Adele,Easy On Me,Easy On Me,0gplL1WMoJ6iYaPgMCL0gX,224694,85,0.604,-7.519,0.366,0.133
Sadie Jean,Locksmith,Locksmith,4HcARAxzsbIB3MqiEkejM6,164081,76,0.566,-10.726,0.348,0.113
Clinton Kane,I GUESS I'M IN LOVE,I GUESS I'M IN LOVE,1is8gU4RVcN4J8xItxWoOY,204093,77,0.422,-6.577,0.34,0.149
Reik,Des/Amor,Ya Me Enteré,0lPXFrKyl8HkdQ2E6NmNja,204173,78,0.619,-5.449,0.452,0.122
5 Seconds of Summer,Youngblood,Ghost Of You,1MhXdlCQPnO56T57MfmaRm,197411,76,0.458,-4.819,0.561,0.156
Patrick Watson,Je te laisserai des mots,Je te laisserai des mots,0V5cvmTKsYmF5FmGGEAfmS,160853,86,0.303,-16.757,0.187,0.101
Andy Grammer,Naive,"Don't Give Up On Me - (From ""Five Feet Apart"")",5A3fPy30SN2wuzrahpcxvV,196187,75,0.641,-5.452,0.537,0.115
New West,Those Eyes,Those Eyes,2GThBgzZoZfz0lx1JjBwfe,220750,40,0.597,-8.043,0.351,0.319
M83,"Hurry up, We're Dreaming",Wait,01Q3OyB05mLgH01fpdAMPP,343253,73,0.426,-10.552,0.228,0.0832
Alexander Stewart,echo,echo,4rdIhBrlaAOPnlTlugZBgz,198750,65,0.631,-7.451,0.503,0.116
Kodaline,Politics of Living,Brother,65gLJGey4u4KFFqoC5fzFJ,203186,76,0.519,-5.909,0.625,0.121
Beret,Vuelve,Vuelve,3jMwSd2zqGOwJStCatpjAr,148633,0,0.689,-10.033,0.456,0.104
Cole Norton,Perfect,Perfect,5yWL57uHx9aincW0l7px7p,319660,0,0.51,-10.457,0.261,0.155
Matt Landi,"Oh Man, What a View!","Oh Man, What a View!",2b5zQzxVQUVacZKGkpw59z,203000,16,0.519,-7.163,0.571,0.0714
BANNERS,Shine A Light,Shine A Light,1fDtoTPDyzkNOfFIRXxsC5,225120,59,0.32,-4.25,0.801,0.13
Matthew Mole,Run,Running After You,6cRkm1iHWDYpkQanPyLqwn,237996,44,0.601,-12.077,0.375,0.0943
Alexander 23,IDK You Yet,IDK You Yet,47EWMOElkkbMp5m9SBkx7d,184638,2,0.629,-11.735,0.306,0.124
Isak Danielson,Yours,Broken,4oLLl2b0pZ5Ksp4SWISJyx,216338,0,0.435,-6.851,0.636,0.112
Aquilo,Silhouettes,Sorry,6MXJdqTuSDXkG21JHWiGko,255205,52,0.322,-11.359,0.291,0.127
Sam Fischer,This City,This City,3H3r2nKWa3Yk5gt8xgmsEt,194853,78,0.605,-6.213,0.377,0.0808
Forest Blakk,If You Love Her,If You Love Her,727Z2S2mtNH46CbP9EWPwY,217351,77,0.286,-8.087,0.445,0.114
We Three,We're All Messed up - but It's Ok,Sara,0zSemnpoUFdtesuHTZ3ifv,211175,63,0.713,-9.81,0.557,0.146
Tate McRae,all the things i never said,that way,7l97ElWmIdVHWUaOeeU5ZC,175026,79,0.453,-11.015,0.383,0.387
Sabrina Carpenter,Skin,Skin,03B2SfXuvDh1m9F4tqrX07,177500,68,0.557,-5.372,0.457,0.0567
Juan Magán,"Rápido, Brusco, Violento","Rápido, Brusco, Violento",63HbvWprv2Mhu63x0nMmLH,193608,0,0.652,-3.386,0.863,0.258
JVKE,this is what ____ feels like (Vol. 1-4),golden hour,0e5UZadoZ5me957hKsxRYh,209259,1,0.511,-4.799,0.594,0.249
Niall Horan,This Town,This Town,5nA67Y0XX9JipZwYxX7Gl7,232600,0,0.687,-7.751,0.409,0.126
Anson Seabra,Songs I Wrote in My Bedroom,When It's Over,4nc2fSP2m3BinlX6j7ZlKK,257333,0,0.525,-17.709,0.0686,0.156
One Direction,FOUR,18,3JjnGLK8IxkNLvo8Lb3KOM,248360,84,0.681,-7.76,0.582,0.119
Ryn Weaver,The Fool,Pierre,2vpVR1L7Qfkd7D6qFNuorq,202733,62,0.607,-4.282,0.827,0.719
Tommy Lefroy,Flight Risk EP,Flight Risk,0kAsY8KaG5sM6uwAEt3qyg,59026,68,0.348,-6.816,0.165,0.162
Lexi Jayde,closer to closure,drunk text me,5gukv8x9eP58gFy2OcZEBQ,213133,72,0.534,-6.818,0.493,0.0889
5 Seconds of Summer,5 Seconds Of Summer,Amnesia,0dIOvducp7ujHTqj66cQ3X,237247,68,0.594,-5.26,0.497,0.162
Sara Kays,Smaller Than This,Smaller Than This,29A7Zz30FbIbvlnHHaJdIx,208655,0,0.566,-9.181,0.369,0.109
Dove Cameron,Descendants,If Only,1mRBJdpIgc3jZH8C3cN2WV,229813,70,0.477,-5.652,0.6,0.112
Maddie Zahm,Fat Funny Friend,Fat Funny Friend,4eaSY3ucamesaARYBsLfz2,199764,3,0.498,-7.877,0.449,0.0836
Ashe,Moral of the Story,Moral of the Story,2nC3QhMI9reBIOWutbU3Tj,201083,76,0.572,-8.624,0.406,0.102
Sasha Alex Sloan,Older,Older,52iLDrSoRtf9lcgFuLVfqE,191001,73,0.681,-9.599,0.292,0.0974
Julie and the Phantoms Cast,Julie and the Phantoms: Season 1 (From the Netflix Original Series),Perfect Harmony (feat. Madison Reyes & Charlie Gillespie),5yeHtAPGAFsfN9baoglUlc,204000,61,0.602,-6.858,0.531,0.116
Austin Farwell,I Miss That Time,I Miss That Time,0Knj8ikuaueHZmwMrzxDIt,80108,57,0.25,-22.379,0.143,0.0812
Astrid S,It's Ok If You Forget Me,It's Ok If You Forget Me,312zSwwbPU7C3sTmro4Wx9,204989,67,0.562,-7.625,0.379,0.151
Katy Perry,Teenage Dream: The Complete Confection,Wide Awake,5JLv62qFIS1DR3zGEcApRt,220946,71,0.514,-5.099,0.683,0.392
Caleb Hearn,Always Be 2.0,Always Be 2.0,4woCuWKAYc4ernzgJViojh,165000,0,0.557,-10.934,0.198,0.114
James TW,Chapters,When You Love Someone,0TXNKTzawI6VgLoA9UauRp,216560,75,0.681,-6.09,0.453,0.0543
Anson Seabra,Keep Your Head Up Princess,Keep Your Head Up Princess,19pChrR4hwdINqoOFUo2Hj,198220,64,0.689,-17.374,0.143,0.109
Stephen Sanchez,Until I Found You,Until I Found You - Piano Version,06vNG6CiV4k8oNA0wUUAO7,184895,73,0.603,-10.449,0.148,0.101
Ellie Goulding,Still Falling For You,"Still Falling For You - From ""Bridget Jones's Baby""",3odrUVQ9tvRpkC9II2oWzx,240867,73,0.473,-8.1,0.518,0.111
Novo Amor,Faux,Faux,5c3mx1oOkT5ynQ4MpK1ul1,272172,0,0.242,-12.129,0.421,0.108
Kygo,Kids in Love,Stranger Things (feat. OneRepublic),4sJqSKPc5fZ5OZ8JiVI44N,221440,62,0.604,-5.914,0.661,0.0951
Anson Seabra,Broken,Broken,1SoR3NCP3P9dtdoTnpPNi1,305675,0,0.551,-14.203,0.0754,0.154
Lizzy McAlpine,five seconds flat,ceilings,2L9N0zZnd37dwF0clgxMGI,182887,90,0.516,-11.762,0.322,0.215
Novo Amor,Birthplace,State Lines,7CoMBpPTwQi2wPT0U0Nr9b,208653,76,0.509,-10.623,0.31,0.0963
Aitana,+,+,5Cbo7oz78gqkzV3EAM63VA,219367,61,0.561,-4.243,0.666,0.123
Tate McRae,she's all i wanna be,she's all i wanna be,0IuVhCflrQPMGRrOyoY5RW,206772,75,0.614,-5.372,0.644,0.117
Matthew Mole,Take Yours,Take Yours,6wwu8cc0nP60ha0biRmqGY,228893,53,0.682,-6.962,0.566,0.0557
Jacob Lee,Clarity,Secrets,5QcXv2olyooZY0D5V1xzhU,232292,0,0.324,-5.851,0.474,0.112
Morat,Sobre El Amor Y Sus Efectos Secundarios,Ya No Estás Tú,4vVI1dW2NmwtXfXrYPw6Ct,199826,0,0.6,-5.908,0.585,0.123
