artist,album,track,uri,duracion_ms,popularidad,danceability,loudness,energy,liveness
Shawn Mendes,Shawn Mendes,Where Were You In The Morning?,51wrmElSLxFzc0vSQPeTxs,200600,0,0.709,-7.468,0.516,0.0992
Forever in Your Mind,Smooth,Smooth - Dustin Atlas Remix,7z8R79JsrWLrhzi8Z6hB9s,186792,0,0.708,-8.14,0.56,0.142
Bruno Mars,Finesse (Remix) [feat. Cardi B],Finesse - Remix; feat. Cardi B,3Vo4wInECJQuz9BIBMOu8i,217288,76,0.704,-4.877,0.859,0.0215
Gaston Soffritti,Simona (Music from the TV Series),Hoy es sólo hoy,3aGz7HMKwsFVcSNmL1Tuoy,200626,18,0.469,-3.669,0.95,0.111
George Ezra,Wanted on Voyage,Budapest,2ixsaeFioXJmMgkkbd4uj1,200733,82,0.717,-8.303,0.455,0.11
Dalex,Pa Mí,Pa Mí - Remix,224EVTFiLsdQignUFLvDeH,360960,0,0.688,-8.029,0.62,0.158
Grace VanderWaal,Just The Beginning,A Better Life,1rEkvyg3rdnTvmhEASyQmg,244160,33,0.398,-7.767,0.39,0.209
Dua Lipa,Future Nostalgia,Levitating (feat. DaBaby),5nujrmhLynf4yMoMtj8AQF,203064,86,0.702,-3.787,0.825,0.0674
Rusherking,Llegué Tarde,Llegué Tarde,0MU33IBbZtqRcJA3f4fG5M,177230,45,0.788,-7.345,0.465,0.107
Paulo Londra,Dímelo,Dímelo,68NhevkESo24f9nTL8fDFP,212444,58,0.832,-5.541,0.71,0.086
Calle 13,Entren Los Que Quieran,Muerte En Hawaii,3kNVYo6BJE9AENxzokM9YC,189866,74,0.675,-7.168,0.588,0.95
Mitchel Musso,Disney Channel Playlist,Let It Go,4NwKcFVpUB5Hgqiy1zmbCC,156426,0,0.682,-4.884,0.883,0.0747
Benjamín Amadeo,Vida Lejana,Vida Lejana,4J250FaY4jjZF6bVI1fw98,238746,23,0.489,-7.734,0.291,0.141
Conor Maynard,Covers,This Is My Version,5qJZxVKQ8vz9Rak3t4b2VY,148588,49,0.632,-7.073,0.38,0.0992
Juan Magán,Déjate Llevar,Déjate Llevar,3xWEI23MLJrD0dpDcDUTW6,233071,0,0.675,-5.503,0.724,0.697
PRETTYMUCH,PRETTYMUCH an EP,Healthy,74ZGCsRTbnaNDg8cjWSdoR,197477,42,0.713,-4.08,0.774,0.0808
Wyclef Jean,Divine Sorrow (feat. Avicii),Divine Sorrow (feat. Avicii),5a8aQRGqdXHCoBqmbXIot0,278715,7,0.546,-4.158,0.606,0.1
Nicki Nicole,Colocao,Colocao,7MCFjPDImfjQv7GynHgVrR,179966,64,0.811,-3.773,0.712,0.106
Carlos Vives,Corazón Profundo (Versión Deluxe),Volví a Nacer,6Al0Kpd4VrRZ0Z4kTThNPa,222213,71,0.588,-4.172,0.812,0.111
Piso 21,Ubuntu,Tu Héroe,5ID9OcOU7EwpGYDKzyQHPg,195045,48,0.786,-4.656,0.819,0.066
RIVERO,Hardwell On Air - Best Of January 2018,Down Dirty,1pk7AwmbGrueVoXhEMqzQ0,158740,0,0.671,-5.532,0.99,0.371
Nick Jonas,Camp Rock 2: The Final Jam,"Introducing Me - From ""Camp Rock 2: The Final Jam""",74tQaH4CxM5Rs9BzerEbHr,186893,66,0.513,-6.049,0.496,0.106
Ariana Grande,Sweetener,sweetener,70khXICDeTTxgYtw3EysKH,208493,66,0.721,-6.408,0.459,0.212
Bautista Nasta,Ilusiones,Ilusiones,1WpjQ5ZraKQrnsgIVKx1fN,232193,11,0.479,-6.409,0.338,0.147
Why Don't We,I Don't Belong In This Club,I Don't Belong In This Club,45ZGEdLxCZvdMX9jWlsAAx,222620,0,0.797,-5.744,0.543,0.0726
Bizarrap,"Dani Ribba: Bzrp Music Sessions, Vol. 24","Dani Ribba: Bzrp Music Sessions, Vol. 24",6TNuRFdNazLbbVQTRE8pZg,173251,1,0.913,-7.74,0.689,0.104
Morat,Sobre El Amor Y Sus Efectos Secundarios... Y Unas Cuantas Cosas Más,Aprender A Quererte,59zFBL3hnDA023j3mSwCSo,229213,0,0.632,-5.218,0.864,0.218
Yandel,#Update,Explícale (feat. Bad Bunny),1LszjjoVwDDZcWUQbzeDLG,223146,68,0.808,-4.151,0.69,0.103
Piso 21,Ubuntu,Cada Noche,1cwIglC3V5HLILOsEPhJeK,218666,40,0.732,-4.727,0.796,0.268
David Guetta,Flames,Flames - Pink Panda Remix,7sdG8n2Q9s8tCM8Wc2Vg1a,228387,47,0.802,-5.509,0.845,0.335
Maluma,"Pretty Boy, Dirty Boy",El Perdedor,1iEwyiSLAunPR6uouANE0O,206693,75,0.702,-5.173,0.73,0.148
PRETTYMUCH,Me Necesita,Me Necesita,5iubMV6ASiIcsLb0fs6u2y,149668,60,0.552,-4.717,0.591,0.0877
Cardi B,Please Me,Please Me,0PG9fbaaHFHfre2gUVo7AN,200889,76,0.747,-6.711,0.57,0.0832
Maluma,Sin Contrato (feat. Don Omar & Wisin),Sin Contrato (feat. Don Omar & Wisin) - Remix,2xNZeeqmwMPVKnD7FSQfgt,231480,48,0.733,-4.002,0.907,0.1
Clara Mae,Call Your Girlfriend,Call Your Girlfriend,5hs8G87IGQq0Sz37oY9efX,194809,48,0.637,-13.437,0.0795,0.109
Madeline The Person,MEAN!,MEAN!,0KQRhak4Irr2CKxgQ9U6ay,143960,69,0.502,-9.504,0.416,0.0934
Deorro,Bailar (feat. Pitbull & Elvis Crespo),Bailar (feat. Pitbull & Elvis Crespo),1A5yplwEk6cJbAL63L6bkp,160304,61,0.75,-3.738,0.891,0.0569
Jesse & Joy,Un Besito Más,Me Soltaste,02yD6Wmpx5kLAoXLQOnuEb,229933,71,0.4,-6.038,0.398,0.333
Saigo,Corazon Vacio (Remix),Corazon Vacio - Remix,4fNvMSpz4E8Eq4PmjxiiZY,265970,53,0.613,-4.164,0.753,0.0942
Miley Cyrus,Younger Now,Week Without You,07G5C1wAil4Mp1qjbd3eTR,224373,50,0.456,-6.249,0.633,0.58
NEIKED,Better Days (NEIKED x Mae Muller x Polo G),Better Days (NEIKED x Mae Muller x Polo G),6f5ExP43esnvdKPddwKXJH,160656,80,0.717,-5.077,0.671,0.0921
Eminem,Music To Be Murdered By,Godzilla (feat. Juice WRLD),7FIWs0pqAYbP91WWM0vlTQ,210800,84,0.808,-5.26,0.745,0.292
TINI,Suéltate El Pelo,Suéltate El Pelo,7dK9ncfHtROhbYCtElBqfU,127302,7,0.783,-4.408,0.804,0.275
Lali,Brava,Tu Sonrisa,51aZm5RLe6spgobzWMBnWN,213187,39,0.537,-6.688,0.317,0.12
Bebe Rexha,The Way I Are (Dance With Somebody) [feat. Lil Wayne],The Way I Are (Dance with Somebody) (feat. Lil Wayne) - Spotify Version,6Pw3Gvw4wNMZfTYZa6IQal,187787,0,0.466,-6.077,0.659,0.273
Shawn Mendes,Illuminate,Three Empty Words,1Tt5Leqvv6OawH2jth05Rw,199013,54,0.615,-9.826,0.414,0.135
Nelsen,Focus,Focus,7D4KBxYpbsWY4b4c9tJRGR,192341,3,0.769,-8.232,0.575,0.321
Pibes Chorros,Pibes Chorros - Criando Cuervos,Que calor,0RDDMvevLZkkBhAHP2mNpb,225320,58,0.851,-1.815,0.792,0.0874
Paquita La Del Barrio,Taco Placero,Rata De Dos Patas,2okIVxq5V9JDpATsGA3t36,218197,58,0.716,-6.325,0.403,0.22
Maxi Espindola,Aliados,Ser Hoy,5P4NG0kQfv9RiG3C2sAms5,212320,28,0.416,-6.503,0.501,0.116
Trueno,Azul y Oro,Azul y Oro (Freestyle),6qvjLYh374hUwDg7bSsxog,194705,0,0.736,-3.588,0.789,0.225
Atomic Otro Way,Conejita,Conejita,4p7c4p1UMv1zyQqgl7rHPd,177423,0,0.891,-4.833,0.847,0.0919
Juke Ross,We Never Die,We Never Die,1OfA2pIJafysuWz5WlBEZQ,196906,24,0.421,-5.306,0.859,0.151
INZO,Overthinker,Overthinker,4K9xid96G3YmIvQZXN9SXg,268000,3,0.472,-4.437,0.605,0.101
La Champions Liga,Cumbia villera - La Champions Liga,Lo aprendio conmigo,01RfdXhRWEifkoxMaNeBcS,159360,18,0.621,-7.007,0.551,0.0791
Zedd,The Middle,The Middle,09IStsImFySgyp0pIQdqAc,184732,82,0.753,-3.061,0.657,0.112
Zac Efron,The Greatest Showman (Original Motion Picture Soundtrack),Rewrite The Stars,65fpYBrI8o2cfrwf2US4gq,217440,74,0.684,-7.005,0.619,0.122
Tan Bionica,Destinologia,Ciudad Mágica,1mXK8Cog4ScFTqbdQAzXli,210606,0,0.625,-5.287,0.904,0.146
The Lumineers,Cleopatra,Cleopatra,5bzf1xrbqr1ttjAJuRz2xY,201413,70,0.536,-6.765,0.775,0.0947
KAROL G,Créeme,Créeme,1mT47pKLXUwPYGwB91GcNz,212493,70,0.715,-3.501,0.872,0.11
One Direction,Made In The A.M.,Olivia,5dONhl6aXFuN86UBdayF6W,177973,72,0.64,-5.362,0.681,0.166
Plain White T's,Every Second Counts,Hey There Delilah,0xM88xobymkMgg46MStfnV,232853,0,0.51,-10.995,0.376,0.113
Adele,21,Rumour Has It,2A73XBDBQgmdXO8VsXPWIs,223266,69,0.612,-5.014,0.749,0.167
Khalid,Last Call,Last Call,7k0wVBW3cvV6Xmb87JikIf,191375,68,0.553,-6.905,0.727,0.107
Fer Palacio,Te Robo - Single,Te Robo,0GgKQVNOLLfgSg2RzH5Gz8,184812,23,0.591,-5.647,0.749,0.032
Bazzi,Alone,Alone,1kFToCzZBG7clK0axbKVWH,196352,53,0.516,-6.335,0.414,0.0851
Maluma,Felices los 4 (4 Versiones),Felices los 4 - Urban Version,6hI9Oa4K5yAeo9VlAxgXEg,224264,50,0.82,-5.149,0.705,0.124
Dura DJ,"Y Si el Pueblo Pide, Ponle","Y Si el Pueblo Pide, Ponle",3trtPAjE5SOgE3g9dEBvE3,170594,0,0.903,-8.013,0.478,0.0878
Maluma,"Pretty Boy, Dirty Boy",Pretextos (feat. Cosculluela),7HDOS7qOhBxmcsWTv29PSK,228280,58,0.829,-4.959,0.712,0.168
Mitchel Musso,Disney Channel Playlist,The Girl Can't Help It,4GTkt6guZ4LSSPIc9o5IWf,202493,0,0.464,-3.696,0.908,0.355
PRETTYMUCH,Blind,Blind - Acoustic,5uuH4G5XscvxYhRvZ5a7sT,239360,32,0.402,-5.816,0.267,0.103
Selena Gomez,Lose You To Love Me,Lose You To Love Me,1HfMVBKM75vxSfsQ5VefZ5,206458,27,0.505,-9.005,0.34,0.21
Michael Giacchino,Disney-Pixar All Time Favorites,It's Finn McMissile!,3kaZnMEkQHrJRoO14d9qDD,351573,0,0.26,-10.16,0.531,0.127
Piso 21,Ubuntu,Puntos Suspensivos,04cd1MHVq1D8v1nuTZoCdv,186315,77,0.823,-3.399,0.731,0.131
Nicky Jam,X (feat. Maluma & Ozuna),X (feat. Maluma & Ozuna) - Remix,6JjPBQfI2Y8nIjnm65X6Pw,235746,68,0.663,-4.957,0.696,0.0778
CKay,love nwantiti (feat. Dj Yo! & AX'EL),love nwantiti (feat. Dj Yo! & AX'EL) - Remix,4gvrJnKCKIPiacNsWVQwEU,188368,79,0.579,-4.823,0.596,0.0549
Sebastian Yatra,MANTRA,Como Si Nada,75wp9tpODmy4gnI6WFR5ma,209960,46,0.769,-5.223,0.711,0.0961
Nacho,Danza,Danza,4lt9qPn55TTqc0vhBLBgxP,179186,24,0.879,-5.828,0.728,0.0812
Gustavo Santaolalla,Movie Scores,The Wings,6LvwBzqlnNrLSUHGTqM7E7,109173,0,0.523,-14.091,0.0877,0.112
Jenny Martinez,Aliados,Yo Soy,5pUOvoANA6AhfMD8jmDxiW,219520,28,0.613,-7.593,0.685,0.09
Maluma,F.A.M.E.,Hangover (feat. Prince Royce),30dTsIbEuISrnDeeE0BKp1,241706,47,0.857,-2.593,0.831,0.281
Joaco Terán,Madre Tierra,Rainbow Surf Hostel,2FzKg00kfMDDAGoDbZQXrd,192666,14,0.829,-8.644,0.531,0.357
Nickelback,All the Right Reasons,Rockstar,3RlsVPIIs5KFhLFhxZ4iDF,252040,72,0.616,-3.004,0.91,0.343
Lennon Stella,Three. Two. One.,Older Than I Am,15VDHAMS4JCLziCjNkmQl1,181533,57,0.44,-8.947,0.306,0.103
Mora,Volando,Volando - Remix,0G2zPzWqVjR68iNPmx2TBe,273474,81,0.659,-4.649,0.688,0.113
Manuel Medrano,Manuel Medrano,Bajo El Agua,5QSYWruQQ7kBCHScI4xJ9g,225838,75,0.616,-8.504,0.454,0.105
Agustin Bernasconi,Aliados,Carpe Diem,4RBev9ci1lPiUtQSOoc0Mm,238186,27,0.226,-8.361,0.547,0.0792
Koino Yokan,Viaje,Viaje,0y4RXtTYQNRGeGnTVuVoit,153608,0,0.504,-16.768,0.1,0.143
Bars and Melody,Generation Z,Serious,7i2wYF32BRUmh5td0qbXcH,215386,0,0.611,-4.812,0.951,0.347
ROSALÍA,MOTOMAMI +,Abcdefg,5EbsCDXjzmwtHm70q87VHt,65961,49,0.627,-17.881,0.167,0.301
Alkilados,Ella Me Persigue,Ella Me Persigue,5lKfxy2Lzs2yJWqHuWHUIq,210773,49,0.795,-5.265,0.799,0.0443
Joe Cocker,The Bodyguard - Original Soundtrack Album,Trust In Me (feat. Sass Jordan),1QxMrnkL1MwMz1aOk54rFa,253640,0,0.655,-7.749,0.862,0.201
Whitney Houston,The Bodyguard - Original Soundtrack Album,I'm Every Woman,2eHj0klWkwRQuIrNlPpCPa,285106,65,0.665,-8.314,0.847,0.126
Bizarrap,"Residente: Bzrp Music Sessions, Vol. 49","Residente: Bzrp Music Sessions, Vol. 49",2dG9k8jtnkjzJjUToz9i9i,519289,68,0.586,-2.997,0.74,0.11
Milky Chance,Blossom,Cocoon - Acoustic Version,38PiBTHVatKwgu51L0ozhr,194986,32,0.714,-12.798,0.185,0.0741
Marcos Menchaca,Cada Vez Más,Cada Vez Más,5La5i3ywEhsLXUWS8gVoJN,181445,47,0.679,-8.038,0.401,0.1
Morat,Sobre El Amor Y Sus Efectos Secundarios... Y Unas Cuantas Cosas Más,Amor Con Hielo,3HD9bDMbauNapHay7GOBoM,203690,0,0.645,-5.23,0.806,0.108
Bingo Players,Rattle,Rattle,3uXzBSx2eMKRTEP46SZ2fC,287183,61,0.744,-4.8,0.957,0.352
Tori Kelly,Hallelujah,Hallelujah,3wWinz94TSPWe6CgTaSK6x,207986,54,0.229,-9.146,0.239,0.117
Lalo Ebratt,Déjate Querer,Déjate Querer,3mN2DtljBhnrIpc3Nu2pJ8,202823,62,0.755,-4.238,0.792,0.0754
Arnau Griso,Mil Meses,Mil Meses - Acústico,7G4f5mDbZoR9IZEZIN5rYm,167973,22,0.865,-9.371,0.305,0.0986
Oriana,Mis Manos,Mis Manos,459Mrs387nO2xlhABWfOSb,183656,0,0.791,-5.439,0.804,0.0794
Bazzi,Soul Searching,Paradise,0Rx0DJI556Ix5gBny6EWmn,169038,75,0.844,-6.273,0.644,0.113
Emily Osment,Disney Channel Playlist,Hero In Me,4jPsaBoRGfrs7QhsIeZ1Fy,140506,0,0.611,-3.539,0.805,0.376
Rels B,SHORTY QUE TE VAYA BN <3,SHORTY QUE TE VAYA BN <3,3CQDFLetMMxD5hzAnUk410,219681,75,0.68,-6.748,0.527,0.115
The Vamps,Pop Nostalgia,I Found A Girl,6bA4eO48FqoCes3shkFoqB,180440,0,0.708,-6.767,0.804,0.228
Jeremy Zucker,brent,scared,6r2JV75tE0vNgNCv4HKsBC,207520,64,0.583,-15.843,0.075,0.111
Cheat Codes,Sex,Sex,2jfmh71b4cFtelf8KOJT60,228361,0,0.51,-5.825,0.692,0.138
Ariana Grande,Sweetener,goodnight n go,14kYOiFVPb7E7NfFbqhdln,189506,71,0.708,-7.07,0.454,0.073
The Strumbellas,Hope,Spirits,3dv9Bvpp9HikNsEvDCKHhC,203653,0,0.553,-3.696,0.729,0.109
Piso 21,Piso 21,Vagones Vacios,1uUw9emUln2Bcm0xZsLHl3,205400,0,0.625,-5.129,0.877,0.116
Jacob Sartorius,The Last Text EP,Love Me Back,3xUgD4vi3d6SE8x0lMwKdF,209328,23,0.798,-6.709,0.685,0.0934
WOS,CARAVANA,NO VA A BAJAR,3wNiMUFSp0H7zF7QH4vCPq,202268,53,0.704,-3.658,0.656,0.15
Austyn Johnson,The Greatest Showman (Original Motion Picture Soundtrack),A Million Dreams (Reprise),66y7x28jXOPrcmu3D5Zjh6,60453,64,0.253,-17.067,0.139,0.269
Jóvenes Catedral de San Isidro,Vivir en Ti,Sal y Luz,1jNqASHXLkLdWhnw3uzzRl,323871,25,0.645,-8.881,0.346,0.0882
THE ANXIETY,Meet Me At Our Spot,Meet Me At Our Spot - Live,3BrWLBC4WYx393yRUOlTih,147828,65,0.694,-7.035,0.475,0.103
Piso 21,Piso 21,No Te Necesito,4H3NPs5ifdx3cr6R7ZwgOb,178973,0,0.784,-4.434,0.735,0.129
Sech,42,Feliz de Mentira,5Yxlmh4fmu16ivEabEbD9l,191231,55,0.691,-3.234,0.746,0.0532
Jason Derulo,Take You Dancing,Take You Dancing - R3HAB Remix,6BBD4ORMmIXeOND3kFQ1IB,175573,56,0.776,-3.492,0.861,0.0535
El Dipy,No Lo Compren,Dale Zorrita,4fobsgzB6v77kwv57KsjNe,201733,43,0.641,-3.916,0.538,0.069
Juice WRLD,Death Race For Love,Robbery,6Hj9jySrnFppAI0sEMCZpJ,240050,6,0.685,-5.122,0.692,0.153
Sevenn,Loco Papi,Loco Papi,5EuVplVa6I5vbAUBuCRnvS,178560,57,0.759,-2.516,0.987,0.268
Pitbull,Original Hits,Go Girl,1HTN2lX8X87qmMXTtI9FDL,229668,60,0.986,-6.809,0.597,0.197
Lizzo,Cuz I Love You,Juice,0k664IuFwVP557Gnx7RhIl,195144,76,0.767,-2.988,0.889,0.402
Conor Maynard,Covers,Hello,13pgP4LlXf849wDkBJDi5h,272550,44,0.336,-8.025,0.381,0.0974
Vanessa Hudgens,Pop Nostalgia,Come Back To Me,0VNenP2ElJmIO1NCRpl2dA,167866,0,0.665,-6.073,0.828,0.207
James TW,You & Me,You & Me,5g45gvxgaYVuhkDACPnvfh,231653,0,0.714,-6.333,0.683,0.102
Shawn Mendes,MTV Unplugged,There's Nothing Holdin' Me Back - MTV Unplugged,65H7KoHbvjLRqpKqTJypZX,210066,0,0.701,-6.865,0.685,0.966
Katy Perry,Pop Nostalgia,Firework,3vOCsUgxhHQuo0oFEtZaKo,227746,0,0.632,-6.352,0.796,0.107
Miley Cyrus,Hannah Montana The Movie,Butterfly Fly Away,2ZTCl6wQMDSMfY4s8GHZdj,189240,66,0.607,-12.632,0.281,0.29
Maluma,"Aloha (feat. Darell, Mambo Kingz & Dj Luian)",Aloha,5RAIMjdrCEjpjaR5tBATXU,241659,71,0.807,-5.757,0.712,0.163
Sech,Sal y Perrea,Sal y Perrea - Remix,1mG8VynhqySA52bALfYrvO,226500,62,0.819,-0.521,0.955,0.289
Joshua Dietrich,Escúchame Loca,Escúchame Loca,4a03WDAgf7bPwEHel88AFU,204187,0,0.602,-10.344,0.544,0.145
Sebastian Yatra,Cristina,Cristina,1Kjer1JoWuJGNwGV6Pbgv1,202040,62,0.649,-4.368,0.502,0.166
Migrantes,Lado Triste,Lado Triste,1FQXmIbaEfpIc0RaaXo6sN,176700,0,0.794,-7.506,0.559,0.0995
Louis Tomlinson,Two of Us,Two of Us,3fd5jcZKAzoiivM4ZDwhyU,217855,51,0.614,-5.411,0.605,0.124
The Pussycat Dolls,Pop Nostalgia,When I Grow Up,58CDpvUvFA50aSER3RDghv,246200,0,0.68,-9.114,0.576,0.363
Maluma,Magia,Mala,5R9axAAFhWq16dxDOJkVBD,171040,30,0.782,-4.963,0.84,0.338
